gender,SeniorCitizen,Partner,Dependents,tenure,customerID,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Cuentas_Diarias,Churn
Male,0,No,No,60,1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,2.996666666666667,No
Female,0,No,No,4,1215-VFYVK,Month-to-month,No,Mailed check,48.25,202.25,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,1.6083333333333334,No
Male,0,No,No,45,1216-BGTSP,Month-to-month,Yes,Credit card (automatic),108.45,4964.7,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.615,No
Male,0,Yes,Yes,25,1216-JWVUX,Month-to-month,Yes,Electronic check,75.5,1901.05,Yes,No,Fiber optic,No,Yes,No,No,No,No,2.5166666666666666,No
Male,1,Yes,No,43,1217-VASWC,One year,Yes,Bank transfer (automatic),100.55,4304.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.3516666666666666,No
Female,0,Yes,Yes,12,1218-VKFPE,Month-to-month,No,Mailed check,19.0,233.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6333333333333333,Yes
Female,0,No,No,9,1219-NNDDO,Month-to-month,Yes,Electronic check,76.85,663.55,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.5616666666666665,No
Female,0,No,No,62,1221-GHZEP,Two year,Yes,Mailed check,65.1,3846.75,Yes,No,DSL,Yes,No,No,Yes,No,Yes,2.17,No
Male,0,Yes,Yes,40,1222-KJNZD,Month-to-month,Yes,Bank transfer (automatic),20.4,745.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6799999999999999,No
Male,0,No,Yes,6,1222-LRYKO,Month-to-month,No,Mailed check,26.35,184.05,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8783333333333334,No
Male,0,Yes,Yes,20,1223-UNPKS,Two year,No,Mailed check,20.05,400.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333,No
Male,1,No,No,16,1226-IENZN,Month-to-month,Yes,Electronic check,78.75,1218.25,Yes,No,Fiber optic,No,No,No,No,No,Yes,2.625,No
Female,0,Yes,Yes,8,1226-JZNKR,One year,No,Electronic check,19.8,160.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.66,No
Female,0,No,No,2,1226-UDFZR,Month-to-month,Yes,Mailed check,49.6,114.7,Yes,No,DSL,No,Yes,No,No,No,No,1.6533333333333333,Yes
Female,0,Yes,No,72,1227-UDMZR,Two year,Yes,Bank transfer (automatic),91.15,6637.9,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3.0383333333333336,No
Male,0,Yes,Yes,50,1228-FZFRV,Month-to-month,No,Credit card (automatic),105.95,5341.8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,3.5316666666666667,Yes
Male,0,No,No,21,1228-ZLNBX,Month-to-month,No,Mailed check,75.3,1570.7,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.51,No
Female,0,Yes,No,64,1229-RCALF,One year,Yes,Electronic check,115.0,7396.15,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.8333333333333335,No
Male,0,No,No,3,1230-QAJDW,Month-to-month,Yes,Mailed check,65.25,209.9,Yes,Yes,DSL,No,No,No,Yes,Yes,No,2.175,No
Male,0,No,No,58,1231-YNDEK,Two year,Yes,Bank transfer (automatic),19.15,1035.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6383333333333333,No
Male,1,No,No,14,1236-WFCDV,Month-to-month,No,Credit card (automatic),90.45,1266.1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,3.015,Yes
Female,0,No,No,18,1237-WIYYZ,Month-to-month,Yes,Mailed check,19.55,389.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6516666666666667,No
Female,0,No,No,67,1240-HCBOH,Two year,Yes,Mailed check,26.1,1759.55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.87,No
Male,0,No,No,1,1240-KNSEZ,Month-to-month,Yes,Mailed check,20.1,20.1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.67,Yes
Male,0,Yes,No,61,1241-EZFMJ,Two year,No,Bank transfer (automatic),25.45,1538.6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8483333333333333,No
Male,0,No,No,52,1241-FPMOF,Two year,No,Mailed check,19.65,1025.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6549999999999999,No
Female,0,Yes,No,14,1245-HARPS,Two year,No,Mailed check,20.4,292.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6799999999999999,No
Female,0,Yes,Yes,43,1247-QBVSH,Month-to-month,No,Mailed check,50.2,2169.4,Yes,No,DSL,No,Yes,No,No,No,No,1.6733333333333333,No
Male,0,Yes,Yes,52,1248-DYXUB,Two year,No,Mailed check,24.8,1229.1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8266666666666667,No
Male,0,No,No,2,1251-KRREG,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,Yes,DSL,No,Yes,No,No,No,No,1.8133333333333332,Yes
Female,1,No,No,4,1251-STYSZ,Month-to-month,Yes,Electronic check,80.25,303.7,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,2.675,No
Female,1,No,No,31,1254-IZEYF,Month-to-month,Yes,Electronic check,99.95,3186.65,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3.3316666666666666,Yes
Male,0,Yes,Yes,5,1257-SXUXQ,Month-to-month,No,Mailed check,19.45,86.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6483333333333333,No
Female,1,No,No,27,1258-YMZNM,One year,Yes,Bank transfer (automatic),110.5,2857.6,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,3.683333333333333,No
Male,0,No,No,4,1260-TTRXI,Month-to-month,No,Electronic check,54.3,195.3,Yes,No,DSL,No,No,No,No,No,Yes,1.8099999999999998,Yes
Male,1,No,No,23,1261-FWTTE,Month-to-month,Yes,Bank transfer (automatic),34.65,768.45,No,No phone service,DSL,No,No,No,No,No,Yes,1.155,No
Female,0,Yes,No,9,1262-OPMFY,Month-to-month,Yes,Bank transfer (automatic),75.75,655.9,Yes,No,Fiber optic,No,No,Yes,No,No,No,2.525,Yes
Male,0,No,No,55,1264-BYWMS,Month-to-month,Yes,Electronic check,96.8,5283.95,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.2266666666666666,Yes
Female,0,Yes,No,49,1264-FUHCX,One year,Yes,Credit card (automatic),56.3,2780.6,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,1.8766666666666665,No
Female,0,Yes,No,71,1265-BCFEO,Two year,Yes,Bank transfer (automatic),80.45,5662.25,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,2.6816666666666666,No
Male,0,Yes,No,59,1265-HVPZB,One year,No,Credit card (automatic),66.4,3958.2,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,2.2133333333333334,No
Female,1,Yes,No,68,1265-XTECC,One year,Yes,Credit card (automatic),96.55,6581.9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,3.2183333333333333,Yes
Female,0,Yes,No,64,1265-ZFOSD,Two year,Yes,Mailed check,81.3,5129.3,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,2.71,No
Female,0,Yes,Yes,72,1266-NZYUI,Two year,No,Bank transfer (automatic),66.85,4758.8,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,2.228333333333333,No
Female,1,Yes,No,16,1268-ASBGA,Month-to-month,Yes,Credit card (automatic),85.35,1375.15,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2.8449999999999998,Yes
Male,0,Yes,Yes,44,1269-FOYWN,One year,No,Bank transfer (automatic),20.0,860.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6666666666666666,No
Female,0,Yes,Yes,30,1270-XKUCC,Two year,No,Mailed check,19.7,599.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666,No
Male,1,No,No,12,1271-SJBGZ,Month-to-month,Yes,Electronic check,43.65,526.95,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,1.4549999999999998,Yes
Male,0,No,No,39,1271-UODNO,Two year,Yes,Credit card (automatic),53.85,2200.7,Yes,Yes,DSL,No,No,No,Yes,No,No,1.7950000000000002,No
Male,0,Yes,Yes,15,1272-ILHFG,One year,No,Mailed check,19.65,332.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6549999999999999,No
Female,1,No,No,4,1273-MTETI,Month-to-month,Yes,Electronic check,88.85,372.45,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,2.9616666666666664,Yes
Male,1,No,No,70,1282-IHQAC,One year,Yes,Credit card (automatic),44.05,3011.65,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,1.4683333333333333,No
Male,0,No,No,1,1285-OKIPP,Month-to-month,No,Electronic check,79.9,79.9,Yes,No,Fiber optic,No,No,No,No,No,Yes,2.6633333333333336,Yes
Male,0,Yes,No,72,1291-CUOCY,Two year,Yes,Credit card (automatic),110.6,7962.2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.6866666666666665,No
Female,0,Yes,Yes,72,1293-BSEUN,Two year,Yes,Mailed check,20.7,1482.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.69,No
Female,0,No,No,35,1293-HHSHJ,One year,No,Mailed check,21.1,741.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.7033333333333334,No
Male,1,Yes,Yes,68,1297-VQDRP,One year,Yes,Credit card (automatic),107.15,7379.8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.5716666666666668,No
Male,0,Yes,Yes,71,1298-PHBTI,Two year,Yes,Electronic check,84.8,6152.4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,2.8266666666666667,No
Female,0,Yes,Yes,70,1299-AURJA,Two year,No,Bank transfer (automatic),24.7,1685.9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8233333333333334,No
Male,0,Yes,Yes,29,1301-LOPVR,One year,Yes,Credit card (automatic),55.35,1636.95,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,1.845,No
Male,0,No,No,66,1302-TPUBN,Two year,No,Bank transfer (automatic),19.35,1240.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.645,No
Male,1,No,No,20,1302-UHBDD,Month-to-month,No,Electronic check,89.95,1648.45,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,2.9983333333333335,No
Female,0,Yes,Yes,55,1303-SRDOK,Two year,Yes,Credit card (automatic),69.05,3842.6,Yes,No,Fiber optic,No,No,No,No,No,No,2.3016666666666667,No
Male,0,Yes,No,9,1304-BCCFO,Month-to-month,Yes,Mailed check,70.05,564.4,Yes,No,DSL,No,No,Yes,No,Yes,Yes,2.335,No
Female,1,No,No,2,1304-NECVQ,Month-to-month,Yes,Electronic check,78.55,149.55,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2.618333333333333,Yes
Female,0,Yes,No,72,1304-SEGFY,Two year,Yes,Electronic check,97.85,6841.3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,3.2616666666666663,No
Female,0,No,Yes,49,1306-RPWXZ,Two year,No,Credit card (automatic),20.45,1024.65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6816666666666666,No
Male,0,No,No,24,1307-ATKGB,Month-to-month,Yes,Electronic check,89.55,2187.15,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,2.985,No
Male,1,No,No,42,1307-TVUFB,Month-to-month,Yes,Bank transfer (automatic),79.35,3344.1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2.645,No
Male,0,Yes,No,21,1309-BXVOQ,Month-to-month,Yes,Electronic check,106.1,2249.95,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.5366666666666666,Yes
Male,1,Yes,Yes,52,1309-XGFSN,One year,Yes,Electronic check,80.85,4079.55,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,2.695,No
Female,0,No,No,18,1310-QRITU,Month-to-month,Yes,Electronic check,50.3,913.3,Yes,Yes,DSL,No,No,No,No,No,No,1.6766666666666665,No
Male,0,Yes,No,12,1319-YLZJG,Month-to-month,Yes,Electronic check,84.6,959.9,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,2.82,No
Male,0,Yes,Yes,72,1320-GVNHT,Two year,Yes,Credit card (automatic),108.4,7767.25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,3.6133333333333337,No
Female,0,No,No,3,1320-HTRDR,Month-to-month,Yes,Electronic check,75.5,220.6,Yes,Yes,Fiber optic,No,No,No,No,No,No,2.5166666666666666,Yes
Male,1,No,No,52,1320-REHCS,Month-to-month,Yes,Electronic check,110.75,5832.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.691666666666667,No
Male,0,No,No,46,1322-AGOQM,Month-to-month,No,Bank transfer (automatic),30.3,1380.1,No,No phone service,DSL,No,Yes,No,No,No,No,1.01,Yes
Female,0,Yes,No,53,1323-OOEPC,Month-to-month,Yes,Credit card (automatic),98.4,5149.5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3.2800000000000002,Yes
Female,1,No,No,15,1324-NLTJE,Month-to-month,No,Credit card (automatic),55.0,757.1,Yes,Yes,DSL,No,No,No,Yes,No,No,1.8333333333333333,Yes
Male,0,Yes,No,70,1325-USMEC,Two year,Yes,Credit card (automatic),99.35,6944.5,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,3.3116666666666665,No
Female,0,Yes,No,18,1328-EUZHC,Two year,No,Mailed check,20.1,370.5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.67,No
Female,0,No,No,7,1329-VHWNP,Month-to-month,No,Bank transfer (automatic),25.05,189.95,No,No phone service,DSL,No,No,No,No,No,No,0.8350000000000001,No
Female,0,Yes,Yes,54,1333-PBMXB,One year,Yes,Bank transfer (automatic),24.75,1342.15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.825,No
Male,0,No,No,1,1334-FJSVR,Month-to-month,Yes,Electronic check,24.25,24.25,No,No phone service,DSL,No,No,No,No,No,No,0.8083333333333333,Yes
Female,0,Yes,No,68,1334-PDUKM,One year,No,Credit card (automatic),86.45,5762.95,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2.881666666666667,No
Female,0,Yes,No,72,1335-HQMKX,One year,Yes,Electronic check,101.35,7323.15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.378333333333333,No
Male,0,Yes,Yes,55,1335-MXCSE,Two year,Yes,Credit card (automatic),55.25,3119.9,Yes,No,DSL,No,No,Yes,Yes,No,No,1.8416666666666666,No
Male,0,No,No,9,1335-NTIUC,Month-to-month,Yes,Electronic check,24.95,190.25,No,No phone service,DSL,No,No,No,No,No,No,0.8316666666666667,No
Female,0,No,No,4,1336-EZFZY,Month-to-month,No,Mailed check,20.05,83.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333,No
Male,0,Yes,Yes,18,1337-BOZWO,One year,No,Credit card (automatic),46.4,812.4,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,1.5466666666666666,No
Male,0,Yes,Yes,41,1338-CECEE,One year,No,Bank transfer (automatic),68.5,2839.95,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,2.283333333333333,No
Male,0,No,No,10,1342-JPNKI,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,2.868333333333333,Yes
Male,0,Yes,No,63,1343-EHPYB,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.4466666666666668,Yes
Male,0,No,Yes,6,1345-GKDZZ,Month-to-month,No,Mailed check,19.55,128.6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6516666666666667,No
Male,0,No,No,14,1345-ZUKID,One year,No,Mailed check,19.35,324.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.645,No
Male,0,Yes,No,61,1346-PJWTK,Month-to-month,No,Credit card (automatic),94.15,5731.85,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,3.1383333333333336,No
Female,0,No,No,13,1346-UFHAX,Month-to-month,Yes,Credit card (automatic),80.0,1029.35,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,2.6666666666666665,No
Male,0,Yes,No,64,1347-KTTTA,One year,Yes,Credit card (automatic),102.45,6654.1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.415,No
Male,0,No,No,1,1349-WXNGG,Month-to-month,No,Bank transfer (automatic),20.05,20.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333,Yes
Female,0,Yes,Yes,72,1352-HNSAW,Two year,Yes,Bank transfer (automatic),115.6,8220.4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3.853333333333333,No
Male,0,Yes,Yes,27,1352-VHKAJ,Month-to-month,No,Bank transfer (automatic),71.6,1957.1,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,2.3866666666666663,No
Male,0,Yes,No,22,1353-GHZOS,One year,Yes,Bank transfer (automatic),59.75,1374.35,Yes,No,DSL,Yes,No,No,No,Yes,No,1.9916666666666667,No
Male,0,No,No,11,1353-LJWEM,Month-to-month,Yes,Electronic check,60.9,688.5,Yes,No,DSL,No,Yes,Yes,Yes,No,No,2.03,No
Male,0,Yes,Yes,4,1354-YZFNB,Two year,No,Credit card (automatic),19.55,68.8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6516666666666667,No
Female,0,Yes,Yes,7,1355-KUSBG,Month-to-month,No,Electronic check,48.8,349.8,Yes,Yes,DSL,No,No,No,No,No,No,1.6266666666666665,No
Male,0,No,No,6,1356-MKYSK,Month-to-month,No,Credit card (automatic),78.65,483.3,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,2.621666666666667,No
Male,0,Yes,No,50,1357-BIJKI,One year,Yes,Electronic check,98.25,4858.7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3.275,No
Male,0,Yes,Yes,11,1357-MVDOZ,Month-to-month,Yes,Bank transfer (automatic),59.65,683.25,Yes,No,DSL,No,No,Yes,No,Yes,No,1.9883333333333333,No
Female,1,Yes,No,54,1360-JYXKQ,One year,Yes,Electronic check,99.1,5437.1,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.3033333333333332,No
Male,0,Yes,Yes,23,1360-RCYRT,Month-to-month,Yes,Bank transfer (automatic),30.35,678.75,No,No phone service,DSL,No,No,No,Yes,No,No,1.0116666666666667,No
Female,0,Yes,No,67,1360-XFJMR,One year,Yes,Credit card (automatic),109.7,7344.45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.6566666666666667,No
Male,1,Yes,No,1,1363-TXLSL,Month-to-month,Yes,Electronic check,70.3,70.3,Yes,No,Fiber optic,No,No,No,No,No,No,2.3433333333333333,Yes
Female,0,No,No,46,1370-GGAWX,One year,Yes,Electronic check,94.15,4408.45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,3.1383333333333336,No
Female,0,Yes,Yes,0,1371-DWPAZ,Two year,No,Credit card (automatic),56.05,0.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,1.8683333333333332,No
Female,0,No,No,48,1371-OJCEK,One year,No,Bank transfer (automatic),24.35,1133.7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.8116666666666668,No
Male,1,Yes,No,40,1371-WEPDS,One year,No,Electronic check,55.8,2283.3,Yes,No,DSL,No,No,No,No,No,Yes,1.8599999999999999,No
Female,0,Yes,Yes,11,1373-ORVIZ,Month-to-month,Yes,Electronic check,66.35,740.8,Yes,Yes,DSL,No,No,No,Yes,No,Yes,2.2116666666666664,Yes
Female,1,No,No,4,1374-DMZUI,Month-to-month,Yes,Electronic check,94.3,424.45,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3.143333333333333,Yes
Female,0,No,No,30,1376-HHBDV,Month-to-month,Yes,Mailed check,48.8,1536.75,Yes,No,DSL,Yes,No,No,No,No,No,1.6266666666666665,No
Male,0,No,Yes,15,1379-FRVEB,Month-to-month,Yes,Electronic check,91.0,1430.05,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,3.033333333333333,No
Female,0,No,No,7,1383-EZRWL,Month-to-month,No,Mailed check,20.05,164.85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333,Yes
Male,0,No,No,16,1384-RCUXW,Month-to-month,Yes,Mailed check,80.55,1248.9,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2.685,No
Female,0,No,No,9,1385-TQOZW,Month-to-month,Yes,Credit card (automatic),20.45,147.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6816666666666666,No
Male,0,No,No,7,1386-ZIKUV,Month-to-month,Yes,Mailed check,18.95,130.55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6316666666666666,No
Male,1,No,No,3,1389-CXMLU,Month-to-month,No,Electronic check,91.05,289.1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,3.0349999999999997,Yes
Female,0,Yes,Yes,20,1389-WNUIB,One year,No,Bank transfer (automatic),76.0,1588.75,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,2.533333333333333,No
Male,0,No,No,11,1391-UBDAR,Month-to-month,No,Electronic check,72.9,818.45,Yes,No,Fiber optic,No,No,Yes,No,No,No,2.43,No
Female,0,No,No,1,1393-IMKZG,Month-to-month,Yes,Electronic check,95.85,95.85,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,3.195,No
Female,1,Yes,No,44,1394-SUIUH,Month-to-month,Yes,Electronic check,85.15,3670.5,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,2.8383333333333334,No
Male,0,Yes,Yes,43,1395-OFUWC,Month-to-month,No,Credit card (automatic),29.3,1224.05,No,No phone service,DSL,No,Yes,No,No,No,No,0.9766666666666667,No
Male,0,No,No,24,1395-WSWXR,Two year,No,Mailed check,20.75,487.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6916666666666667,No
Female,0,Yes,Yes,21,1396-QWFBJ,Month-to-month,Yes,Bank transfer (automatic),74.05,1565.7,Yes,No,Fiber optic,No,Yes,No,No,No,No,2.4683333333333333,Yes
Male,0,No,No,7,1397-XKKWR,One year,No,Mailed check,35.3,264.8,No,No phone service,DSL,Yes,No,Yes,No,No,No,1.1766666666666665,No
Female,0,Yes,Yes,57,1399-OUPJN,Two year,No,Bank transfer (automatic),19.75,1272.05,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6583333333333333,No
Male,0,No,No,11,1399-UBQIU,Month-to-month,Yes,Electronic check,69.35,712.25,Yes,No,DSL,No,No,Yes,No,Yes,Yes,2.3116666666666665,No
Male,1,Yes,No,3,1400-MMYXY,Month-to-month,Yes,Electronic check,105.9,334.65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3.5300000000000002,Yes
Male,0,Yes,No,57,1400-WIVLL,Two year,No,Electronic check,107.95,5969.85,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.5983333333333336,No
Male,0,Yes,Yes,23,1401-FTHFQ,One year,Yes,Credit card (automatic),20.0,445.3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6666666666666666,No
Female,0,Yes,Yes,18,1402-PTHGN,One year,Yes,Mailed check,61.5,1087.45,Yes,No,DSL,Yes,Yes,No,Yes,No,No,2.05,No
Male,0,Yes,Yes,70,1403-GYAFU,Two year,No,Credit card (automatic),20.05,1360.25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6683333333333333,No
Female,0,Yes,Yes,33,1403-LKLIK,One year,No,Mailed check,20.1,579.4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.67,No
Male,0,No,Yes,1,1406-PUQVY,Month-to-month,Yes,Electronic check,49.9,49.9,Yes,No,DSL,No,Yes,No,No,No,No,1.6633333333333333,No
Female,0,Yes,Yes,3,1407-DIGZV,Two year,No,Mailed check,19.1,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6366666666666667,No
Male,1,Yes,No,54,1409-PHXTF,Two year,Yes,Electronic check,110.45,6077.75,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3.6816666666666666,No
Male,0,Yes,Yes,7,1410-RSCMR,Month-to-month,Yes,Credit card (automatic),71.35,515.75,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,2.378333333333333,No
Male,0,Yes,No,70,1414-YADCW,Two year,No,Bank transfer (automatic),84.6,5706.2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,2.82,No
Female,1,No,No,1,1415-YFWLT,Month-to-month,Yes,Electronic check,89.3,89.3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,2.9766666666666666,Yes
Male,1,Yes,No,30,1421-HCERK,Month-to-month,Yes,Bank transfer (automatic),105.7,3181.8,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,3.5233333333333334,No
Male,0,Yes,No,32,1422-DGUBX,One year,Yes,Electronic check,79.25,2619.15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,2.6416666666666666,No
Female,0,Yes,Yes,1,1423-BMPBQ,Month-to-month,Yes,Mailed check,19.0,19.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6333333333333333,No
Female,0,Yes,No,56,1427-VERSM,Month-to-month,Yes,Electronic check,98.7,5669.5,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,3.29,No
Male,0,No,No,11,1428-GTBJJ,Month-to-month,Yes,Electronic check,74.55,824.75,Yes,No,Fiber optic,No,Yes,No,No,No,No,2.485,Yes
Male,0,No,No,52,1428-IEDPR,Two year,Yes,Electronic check,109.3,5731.4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3.643333333333333,No
Female,0,No,No,12,1429-UYJSV,One year,No,Mailed check,19.7,260.9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0.6566666666666666,No
Male,0,No,No,29,1430-SFQSA,One year,No,Mailed check,35.6,1072.6,No,No phone service,DSL,Yes,No,No,Yes,No,No,1.1866666666666668,No
